Family,points.1,points.2,Classification
Poaceae,-232.9317277,6.018461498,monocot
Commelinaceae,-155.7329791,-11.93533014,monocot
Iridaceae,-138.9336669,-16.02441679,monocot
Fumariaceae,69.43593767,-51.40899409,other_dicot
Papaveraceae,69.43593767,-51.40899409,other_dicot
Linaceae,95.25848644,-42.69665766,other_dicot
Onagraceae,95.72496736,-46.48379605,other_dicot
Fabaceae,96.93748315,-50.28640905,other_dicot
Phytolaccaceae,99.28921478,-42.49198516,other_dicot
Malvaceae,100.0728898,-74.63997935,other_dicot
Polemoniaceae,105.202511,-15.44602922,other_dicot
Apiaceae,113.2474991,15.45829305,other_dicot
Hydrophyllaceae,116.6221818,-31.09835488,other_dicot
Asclepiadaceae,116.9406887,-32.10087371,other_dicot
Scrophulareaceae,120.8495857,-44.54240912,other_dicot
Lamiaceae,122.4079076,-49.2949969,other_dicot
Asteraceae,124.6976131,108.0778937,Asteraceaa